"","date","meeting_date","dtarget","surprise"
"134",2011-06-09,2011-06-08,0.25,0.0199999999999996
"135",2011-07-21,2011-07-20,0.25,0.0199999999999996
"136",2011-09-01,2011-08-31,-0.5,-0.391
"137",2011-10-20,2011-10-19,-0.5,-0.0400000000000009
"138",2011-12-01,2011-11-30,-0.5,0.016
"139",2012-01-19,2012-01-18,-0.5,-0.0700000000000003
"140",2012-03-08,2012-03-07,-0.75,-0.15
"141",2012-04-19,2012-04-18,-0.75,-0.0899999999999999
"142",2012-05-31,2012-05-30,-0.5,-0.219999999999999
"143",2012-07-12,2012-07-11,-0.5,-0.0389999999999997
"144",2012-08-30,2012-08-29,-0.5,-0.185
"145",2012-10-11,2012-10-10,-0.25,-0.0339999999999998
"146",2012-11-29,2012-11-28,0,0.0609999999999999
"147",2013-01-17,2013-01-16,0,-0.04
"148",2013-03-07,2013-03-06,0,-0.0209999999999999
"149",2013-04-18,2013-04-17,0.25,-0.135
"150",2013-05-30,2013-05-29,0.5,0.194999999999999
"151",2013-07-11,2013-07-10,0.5,0.0129999999999999
"152",2013-08-29,2013-08-28,0.5,0.140000000000001
"153",2013-10-10,2013-10-09,0.5,0.0589999999999993
"154",2013-11-28,2013-11-27,0.5,0.140000000000001
"155",2014-01-16,2014-01-15,0.5,0.131
"156",2014-02-27,2014-02-26,0.25,0.0599999999999987
"157",2014-04-03,2014-04-02,0.25,0.0350000000000001
"158",2014-05-29,2014-05-28,0,-0.0299999999999994
"159",2014-07-17,2014-07-16,0,0.0129999999999999
"160",2014-09-04,2014-09-03,0,-0.0080000000000009
"161",2014-10-30,2014-10-29,0.25,0.23
"162",2014-12-04,2014-12-03,0.5,-0.036999999999999
"163",2015-01-22,2015-01-21,0.5,0.0800000000000001
"164",2015-03-05,2015-03-04,0.5,0.00300000000000011
"165",2015-04-30,2015-04-29,0.5,0.220000000000001
"166",2015-06-04,2015-06-03,0.5,0.048
"167",2015-07-30,2015-07-29,0.5,0.204000000000001
"168",2015-09-03,2015-09-02,0,-0.0549999999999997
"169",2015-10-22,2015-10-21,0,-0.0230000000000015
"170",2015-11-26,2015-11-25,0,-0.0220000000000002
"171",2016-01-21,2016-01-20,0,-0.179
"172",2016-03-03,2016-03-02,0,-0.0109999999999992
"173",2016-04-28,2016-04-27,0,0.0140000000000011
"174",2016-06-09,2016-06-08,0,0.0289999999999999
"175",2016-07-21,2016-07-20,0,0.0080000000000009
"176",2016-09-01,2016-08-31,0,0.00500000000000078
"177",2016-10-20,2016-10-19,-0.25,0.0400000000000009
"178",2016-12-01,2016-11-30,-0.25,0.0310000000000006
"179",2017-01-12,2017-01-11,-0.75,-0.209000000000001
"180",2017-02-23,2017-02-22,-0.75,-0.234999999999999
"181",2017-04-13,2017-04-12,-1,-0.0579999999999998
"182",2017-06-01,2017-05-31,-1,-0.0549999999999997
"183",2017-07-27,2017-07-26,-1,-0.245000000000001
"184",2017-09-08,2017-09-06,-1,-0.0579999999999998
"185",2017-10-26,2017-10-25,-0.75,-0.156000000000001
"186",2017-12-07,2017-12-06,-0.5,-0.0230000000000006
"187",2018-02-08,2018-02-07,-0.25,-0.0200000000000005
"188",2018-03-22,2018-03-21,-0.25,-0.0430000000000001
"189",2018-05-17,2018-05-16,0,0.0729999999999995
"190",2018-06-21,2018-06-20,0,-0.0450000000000008
"191",2018-08-02,2018-08-01,0,-0.00800000000000001
"192",2018-09-20,2018-09-19,0,-0.0270000000000001
"193",2018-11-01,2018-10-31,0,-0.00900000000000034
"194",2018-12-13,2018-12-12,0,0
"195",2019-02-07,2019-02-06,0,0.00199999999999978
"196",2019-03-21,2019-03-20,0,0.0100000000000007
"197",2019-05-09,2019-05-08,0,-0.00499999999999989
"198",2019-06-21,2019-06-19,0,0.0249999999999995
"199",2019-08-01,2019-07-31,-0.5,-0.0999999999999996
"200",2019-09-19,2019-09-18,-0.5,-0.0549999999999997
"201",2019-10-31,2019-10-30,-0.5,0.0110000000000001
"202",2019-12-12,2019-12-11,-0.5,-0.0510000000000002
"203",2020-02-06,2020-02-05,-0.25,-0.0430000000000001
"204",2020-03-19,2020-03-18,-0.5,-0.0550000000000002
"205",2020-05-07,2020-05-06,-0.75,-0.185
"206",2020-06-18,2020-06-17,-0.75,-0.0869999999999997
"207",2020-08-06,2020-08-05,-0.25,-0.0800000000000001
"208",2020-09-17,2020-09-16,0,0.01
"209",2020-10-29,2020-10-28,0,-0.00100000000000011
"210",2020-12-10,2020-12-09,0,0.004
"211",2021-01-21,2021-01-20,0,0.01
"212",2021-03-18,2021-03-17,0.75,0.214
"213",2021-05-06,2021-05-05,0.75,0.0339999999999998
"214",2021-06-17,2021-06-16,0.75,0.024
"215",2021-08-05,2021-08-04,1,0.0259999999999998
"216",2021-09-23,2021-09-22,1,0.128
"217",2021-10-28,2021-10-27,1.5,0.350000000000001
"218",2021-12-09,2021-12-08,1.5,0.0500000000000007
"219",2022-02-03,2022-02-02,1.5,0.0960000000000001
"220",2022-03-17,2022-03-16,1,0.0119999999999987
"221",2022-05-05,2022-05-04,1,0.0360000000000014
"222",2022-06-17,2022-06-15,0.5,0.00199999999999889
"223",2022-08-04,2022-08-03,0.5,0.0300000000000011
"224",2022-09-22,2022-09-21,0,-0.0540000000000003
"225",2022-10-27,2022-10-26,0,-0.00399999999999956
"226",2022-12-08,2022-12-07,0,-0.00999999999999979
"227",2023-02-02,2023-02-01,0,0
"228",2023-03-23,2023-03-22,0,0.00300000000000011
"229",2023-05-04,2023-05-03,0,0.00399999999999956
"230",2023-06-22,2023-06-21,0,0.0120000000000005
"231",2023-08-03,2023-08-02,-0.5,-0.155999999999999
"232",2023-09-21,2023-09-20,-0.5,-0.0609999999999999
"233",2023-11-03,2023-11-01,-0.5,-0.020999999999999
"234",2023-12-14,2023-12-13,-0.5,-0.0359999999999996
