"","date","surprise","shock"
"111",2012-08-01,-0.185,-0.157696418977719
"112",2012-09-01,0,-1.0140339751706
"113",2012-10-01,-0.0339999999999998,-0.155877208087446
"114",2012-11-01,0.0609999999999999,-0.295437572083146
"115",2012-12-01,0,0.363394152926101
"116",2013-01-01,-0.04,-0.975093264698461
"117",2013-02-01,0,0.387698108779682
"118",2013-03-01,-0.0209999999999999,-0.656402835943703
"119",2013-04-01,-0.135,0.166785430699325
"120",2013-05-01,0.194999999999999,0.148542826370026
"121",2013-06-01,0,0.358595310998103
"122",2013-07-01,0.0129999999999999,-0.544705167957243
"123",2013-08-01,0.140000000000001,-0.526419969036441
"124",2013-09-01,0,0.276398091765139
"125",2013-10-01,0.0589999999999993,0.232376905783704
"126",2013-11-01,0.140000000000001,-0.737938517613135
